study_time,idle_time,break_time,tasks_completed,session_time,time_of_day,focus_score
459,180,69,8,600,evening,100
342,54,51,11,462,afternoon,99
144,180,22,10,352,morning,98
204,180,31,10,423,night,100
282,180,42,8,513,evening,98
252,180,38,6,479,morning,94
246,180,37,12,481,morning,97
246,180,37,5,479,afternoon,84
36,174,5,8,233,afternoon,70
312,162,47,5,540,afternoon,100
5,174,5,5,190,evening,100
234,180,35,5,456,morning,100
282,180,42,11,522,afternoon,96
444,180,67,9,600,night,83
330,180,50,12,567,morning,77
212,54,32,12,305,morning,87
300,180,45,5,543,morning,100
222,180,33,9,445,morning,93
156,180,23,6,367,morning,88
234,180,35,6,456,night,92
234,138,35,9,418,evening,60
120,162,18,11,313,night,82
348,180,52,11,597,afternoon,100
197,180,30,8,421,evening,100
366,168,55,10,600,night,80
264,180,40,5,490,afternoon,89
372,180,56,9,600,night,92
216,180,32,8,441,afternoon,88
240,90,36,6,381,afternoon,95
230,180,34,8,449,night,100
456,180,68,11,600,evening,100
246,180,37,7,474,evening,93
282,180,42,10,509,afternoon,94
306,180,46,11,551,night,76
318,180,48,10,560,afternoon,100
402,108,60,5,586,evening,89
204,180,31,7,427,evening,86
432,180,65,8,600,afternoon,100
144,180,22,12,356,morning,100
444,180,67,9,600,afternoon,100
384,156,58,9,600,morning,80
72,180,11,11,271,evening,91
354,180,53,6,600,evening,100
240,180,36,5,467,night,96
444,180,67,5,600,morning,100
30,180,5,12,224,night,78
480,180,72,7,600,night,99
258,180,39,8,495,afternoon,100
186,180,28,5,411,evening,84
48,180,7,10,243,evening,84
438,180,66,9,600,morning,79
318,174,48,9,549,night,88
240,132,36,8,424,evening,98
264,114,40,6,435,evening,70
348,180,52,5,591,night,100
447,90,67,10,600,afternoon,98
72,180,11,7,268,afternoon,79
300,180,45,5,534,night,88
271,180,41,5,499,evening,96
132,180,20,6,338,evening,100
198,180,30,6,424,afternoon,97
126,180,19,7,337,afternoon,100
308,180,46,5,553,night,75
306,180,46,9,540,morning,96
264,180,40,10,494,evening,99
264,102,40,7,424,evening,83
5,144,5,11,168,morning,76
120,180,18,7,327,morning,79
192,180,29,9,411,night,86
360,180,54,12,600,morning,97
264,180,40,11,494,night,96
390,180,58,8,600,morning,85
102,180,15,11,309,afternoon,99
132,180,20,6,344,morning,100
324,180,49,11,565,night,100
372,180,56,11,600,afternoon,98
216,180,32,9,436,night,77
192,180,29,10,419,afternoon,100
169,180,25,5,381,evening,100
126,180,19,10,331,morning,70
5,180,5,11,199,afternoon,96
390,84,58,9,540,night,100
78,162,12,11,266,afternoon,53
162,72,24,10,265,morning,96
417,156,63,7,600,afternoon,100
5,180,5,10,208,evening,100
72,180,11,11,280,morning,100
192,180,29,5,414,evening,94
192,180,29,8,419,evening,75
330,180,50,8,570,evening,100
480,180,72,9,600,night,94
372,180,56,7,600,evening,83
399,180,60,10,600,morning,97
342,180,51,11,583,afternoon,96
72,180,11,10,274,night,73
348,54,52,7,469,morning,84
366,180,55,7,600,night,97
144,180,22,9,354,night,72
66,180,10,9,262,afternoon,88
336,180,50,8,571,afternoon,92
342,174,51,8,574,afternoon,100
60,114,9,5,198,morning,92
66,180,10,7,269,night,92
354,180,53,12,597,night,71
378,180,57,9,600,afternoon,100
330,180,50,8,570,evening,76
270,126,40,7,455,morning,89
306,138,46,8,499,afternoon,100
336,180,50,7,581,night,80
180,180,27,9,395,morning,94
312,30,47,5,402,evening,95
222,180,33,7,448,night,93
180,180,27,9,405,morning,100
186,180,28,9,404,night,100
5,180,5,7,196,afternoon,69
450,126,68,5,600,night,65
192,90,29,7,325,morning,89
288,180,43,7,519,morning,100
480,180,72,9,600,afternoon,93
359,180,54,8,600,night,90
5,132,5,8,154,evening,63
258,180,39,7,490,night,92
204,180,31,11,428,morning,86
407,180,61,7,600,afternoon,100
78,180,12,11,283,afternoon,98
294,180,44,10,529,morning,97
120,180,18,8,337,morning,74
468,180,70,11,600,afternoon,97
348,180,52,6,593,morning,80
264,180,40,11,489,afternoon,99
120,132,18,5,280,night,93
320,180,48,12,557,morning,94
276,180,41,10,511,afternoon,87
126,180,19,10,337,afternoon,75
36,180,5,8,227,morning,58
78,180,12,6,283,night,84
389,72,58,8,524,morning,99
144,78,22,8,249,night,68
252,180,38,10,475,night,100
390,180,58,6,600,afternoon,100
96,180,14,10,309,morning,98
78,78,12,5,173,evening,50
30,180,5,8,229,evening,72
240,180,36,8,461,morning,93
276,180,41,9,502,afternoon,100
480,138,72,9,600,night,87
264,180,40,10,491,afternoon,87
294,60,44,12,409,night,98
348,180,52,11,585,evening,84
342,126,51,9,536,evening,100
306,180,46,7,543,afternoon,100
192,180,29,6,406,morning,100
192,180,29,6,406,night,73
264,180,40,7,499,night,100
282,180,42,11,514,evening,94
426,150,64,11,600,afternoon,84
420,180,63,6,600,night,100
150,180,22,5,365,morning,60
90,144,14,10,263,night,100
300,180,45,10,532,night,96
408,180,61,6,600,evening,100
333,180,50,12,580,afternoon,79
168,180,25,8,386,night,97
279,114,42,10,445,afternoon,97
480,180,72,6,600,night,96
336,114,50,7,511,morning,100
372,180,56,7,600,morning,100
126,180,19,9,338,morning,82
300,180,45,10,532,evening,100
156,144,23,10,331,morning,68
234,180,35,10,456,night,91
471,180,71,6,600,morning,92
54,180,8,10,251,morning,93
